datetime,pm25_level,solar_radiation,boundary_layer_height,temp,humidity,precip,precipprob,precipcover,windspeed,pressure,conditions,year,month,day,day_of_week,is_weekend,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,moving_avg_7,moving_std_7
2019-01-08,177.45833333333334,132.27681,258.1032,12.8,84.5,0.0,0.0,0.0,15.0,1018.1,Partially cloudy,2019,1,8,1,0,185.04166666666663,169.0,225.91666666666663,238.375,345.375,278.5,261.30434782608694,243.35895445134574,59.47469649888506
2019-01-09,134.66666666666666,141.93831,258.84375,13.3,74.2,0.0,0.0,0.0,24.3,1017.3,Clear,2019,1,9,2,0,177.45833333333334,185.04166666666663,169.0,225.91666666666663,238.375,345.375,278.5,231.38095238095235,63.56097351753948
2019-01-10,149.8695652173913,144.12672,161.89012,13.1,72.0,0.0,0.0,0.0,11.2,1016.9,Clear,2019,1,10,3,0,134.66666666666666,177.45833333333334,185.04166666666663,169.0,225.91666666666663,238.375,345.375,210.83333333333331,68.8210239195359
2019-01-11,249.125,138.77318,191.50221,14.0,71.9,0.0,0.0,0.0,9.4,1018.3,Clear,2019,1,11,4,0,149.8695652173913,134.66666666666666,177.45833333333334,185.04166666666663,169.0,225.91666666666663,238.375,182.90398550724635,37.799430470833066
2019-01-12,233.66666666666663,116.138145,204.26584,14.8,72.2,0.0,0.0,0.0,11.2,1017.4,Partially cloudy,2019,1,12,5,1,249.125,149.8695652173913,134.66666666666666,177.45833333333334,185.04166666666663,169.0,225.91666666666663,184.43969979296065,40.547219482431494
2019-01-13,249.29166666666663,137.56902,299.05063,15.8,74.2,0.0,0.0,0.0,14.8,1019.3,Partially cloudy,2019,1,13,6,1,233.66666666666663,249.125,149.8695652173913,134.66666666666666,177.45833333333334,185.04166666666663,169.0,185.5468426501035,41.950044052297926
2019-01-14,82.69565217391305,151.61247,410.19183,13.3,64.5,0.0,0.0,0.0,24.6,1019.4,Clear,2019,1,14,0,0,249.29166666666663,233.66666666666663,249.125,149.8695652173913,134.66666666666666,177.45833333333334,185.04166666666663,197.01708074534162,47.30658380786545
2019-01-15,115.75,146.09048,232.09325,11.2,71.1,0.0,0.0,0.0,18.4,1018.4,Partially cloudy,2019,1,15,1,0,82.69565217391305,249.29166666666663,233.66666666666663,249.125,149.8695652173913,134.66666666666666,177.45833333333334,182.39622153209106,64.36493487495638
2019-01-16,235.2083333333333,131.0009,134.78363,12.6,73.3,0.0,0.0,0.0,9.4,1018.2,Partially cloudy,2019,1,16,2,0,115.75,82.69565217391305,249.29166666666663,233.66666666666663,249.125,149.8695652173913,134.66666666666666,173.5807453416149,69.19828611814435
2019-01-17,293.42857142857144,149.14944,172.93613,13.4,74.6,0.0,0.0,0.0,14.8,1017.0,Clear,2019,1,17,3,0,235.2083333333333,115.75,82.69565217391305,249.29166666666663,233.66666666666663,249.125,149.8695652173913,187.9438405797101,70.20206710982968
2019-01-18,228.66666666666663,150.65395,140.56073,12.6,78.4,0.0,0.0,0.0,22.8,1017.2,Clear,2019,1,18,4,0,293.42857142857144,235.2083333333333,115.75,82.69565217391305,249.29166666666663,233.66666666666663,249.125,208.45227003845017,77.78516311482588
2019-01-19,222.29166666666663,148.71095,124.580284,15.1,71.6,0.0,0.0,0.0,9.4,1017.1,Clear,2019,1,19,5,1,228.66666666666663,293.42857142857144,235.2083333333333,115.75,82.69565217391305,249.29166666666663,233.66666666666663,205.52965099083107,76.37380501916824
