datetime,pm25_level,solar_radiation,boundary_layer_height,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,humidity,precip,precipprob,precipcover,windspeed,pressure,conditions
2019-01-01,261.30434782608694,135.33174,143.09856,22.3,5.8,13.2,22.3,4.7,13.0,70.1,0.0,0.0,0.0,9.4,1020.0,Clear
2019-01-02,278.5,133.70912,136.26231,22.7,7.9,14.9,22.7,7.9,14.9,70.6,0.0,0.0,0.0,11.2,1020.0,Clear
2019-01-03,345.375,135.9514,240.07968,19.9,7.0,12.6,19.9,6.2,12.4,83.1,0.0,0.0,0.0,21.1,1021.4,Clear
2019-01-04,238.375,128.81148,152.73969,17.7,8.0,11.9,17.7,4.9,11.3,87.3,0.0,0.0,0.0,21.5,1020.3,Partially cloudy
2019-01-05,225.91666666666663,134.66133,257.30548,20.9,7.6,13.3,20.9,7.0,12.8,78.8,0.0,0.0,0.0,21.6,1018.6,Clear
2019-01-06,169.0,117.33368,200.55927,19.2,10.5,14.2,19.2,10.5,14.2,81.6,5.552,100.0,12.5,22.3,1017.9,"Rain, Partially cloudy"
2019-01-07,185.04166666666663,137.8448,212.90425,19.5,8.0,12.9,19.5,8.0,12.8,86.7,0.0,0.0,0.0,11.2,1019.7,Partially cloudy
2019-01-08,177.45833333333334,132.27681,258.1032,19.6,8.0,12.8,19.6,7.4,12.7,84.5,0.0,0.0,0.0,15.0,1018.1,Partially cloudy
2019-01-09,134.66666666666666,141.93831,258.84375,20.3,7.0,13.3,20.3,4.8,12.9,74.2,0.0,0.0,0.0,24.3,1017.3,Clear
2019-01-10,149.8695652173913,144.12672,161.89012,20.5,7.5,13.1,20.5,6.8,12.9,72.0,0.0,0.0,0.0,11.2,1016.9,Clear
2019-01-11,249.125,138.77318,191.50221,21.5,6.7,14.0,21.5,6.7,14.0,71.9,0.0,0.0,0.0,9.4,1018.3,Clear
2019-01-12,233.66666666666663,116.138145,204.26584,22.0,8.8,14.8,22.0,8.8,14.8,72.2,0.0,0.0,0.0,11.2,1017.4,Partially cloudy
2019-01-13,249.29166666666663,137.56902,299.05063,22.4,9.6,15.8,22.4,9.6,15.8,74.2,0.0,0.0,0.0,14.8,1019.3,Partially cloudy
2019-01-14,82.69565217391305,151.61247,410.19183,19.0,9.0,13.3,19.0,7.6,13.0,64.5,0.0,0.0,0.0,24.6,1019.4,Clear
2019-01-15,115.75,146.09048,232.09325,18.7,6.0,11.2,18.7,4.0,10.4,71.1,0.0,0.0,0.0,18.4,1018.4,Partially cloudy
2019-01-16,235.20833333333331,131.0009,134.78363,20.0,6.2,12.6,20.0,6.2,12.6,73.3,0.0,0.0,0.0,9.4,1018.2,Partially cloudy
2019-01-17,293.42857142857144,149.14944,172.93613,21.7,6.3,13.4,21.7,6.3,13.4,74.6,0.0,0.0,0.0,14.8,1017.0,Clear
2019-01-18,228.66666666666663,150.65395,140.56073,20.8,6.0,12.6,20.8,4.4,12.3,78.4,0.0,0.0,0.0,22.8,1017.2,Clear
2019-01-19,222.29166666666663,148.71095,124.580284,25.1,7.7,15.1,25.1,7.7,15.1,71.6,0.0,0.0,0.0,9.4,1017.1,Clear
2019-01-20,219.25,137.62033,104.26253,28.0,9.5,18.3,27.8,9.5,18.1,63.9,0.0,0.0,0.0,9.4,1015.9,Partially cloudy
2019-01-21,142.04166666666666,113.27343,395.00775,23.0,13.0,16.8,23.0,13.0,16.8,79.2,10.507,100.0,8.33,26.5,1013.1,"Rain, Partially cloudy"
2019-01-22,45.22222222222222,90.00342,269.95462,18.0,13.0,15.2,18.0,13.0,15.2,95.0,29.553,100.0,12.5,22.3,1013.8,"Rain, Partially cloudy"
2019-01-23,141.61904761904762,103.50895,180.62723,18.4,9.8,13.0,18.4,8.7,12.9,93.4,0.0,0.0,0.0,11.2,1017.5,Partially cloudy
2019-01-24,128.0,138.97269,298.94348,20.8,11.0,14.7,20.8,11.0,14.7,86.7,2.701,100.0,4.17,20.5,1019.6,"Rain, Partially cloudy"
2019-01-25,78.16666666666667,133.15187,237.25148,18.0,10.5,13.8,18.0,10.5,13.8,83.5,2.552,100.0,4.17,13.0,1019.7,"Rain, Partially cloudy"
2019-01-26,104.20833333333331,158.83891,316.5835,18.8,7.3,12.5,18.8,6.4,12.3,70.3,0.0,0.0,0.0,14.8,1022.2,Clear
2019-01-27,140.95833333333334,154.20601,347.64563,18.5,5.1,11.2,18.5,4.0,10.8,77.9,0.0,0.0,0.0,31.8,1022.6,Partially cloudy
2019-01-28,112.1818181818182,164.43182,386.98627,18.8,6.0,11.9,18.8,4.4,11.5,72.6,0.0,0.0,0.0,24.6,1022.1,Clear
2019-01-29,123.3181818181818,165.22858,211.95535,19.8,6.0,12.2,19.8,4.4,11.7,69.3,0.0,0.0,0.0,16.6,1020.5,Clear
2019-01-30,195.08333333333331,148.03561,153.81296,20.2,6.8,13.1,20.2,5.6,13.0,69.6,0.0,0.0,0.0,13.6,1019.1,Partially cloudy
2019-01-31,215.83333333333331,148.30115,317.6629,20.8,10.0,14.6,20.8,10.0,14.6,72.6,0.0,0.0,0.0,16.1,1017.7,Partially cloudy
2019-02-01,177.8181818181818,136.47527,235.02844,21.0,11.9,15.4,21.0,11.9,15.4,81.4,0.0,0.0,0.0,15.4,1018.4,Partially cloudy
2019-02-02,197.20833333333331,163.43642,244.80998,17.6,8.0,12.1,17.6,6.0,11.5,95.1,0.0,0.0,0.0,21.0,1018.7,Partially cloudy
2019-02-03,141.5,166.3895,203.78188,19.6,10.0,13.2,19.6,8.7,13.1,91.4,0.0,0.0,0.0,15.6,1019.8,Clear
2019-02-04,126.17647058823528,167.53607,143.34236,22.6,8.0,14.1,22.6,6.8,14.0,81.5,0.0,0.0,0.0,11.2,1020.2,Partially cloudy
2019-02-05,181.20833333333331,134.02025,166.94836,24.6,10.2,16.8,24.6,10.2,16.8,77.4,0.0,0.0,0.0,10.0,1017.5,Partially cloudy
2019-02-06,187.7058823529412,132.46526,356.3277,25.0,13.3,18.6,25.0,13.3,18.6,84.6,0.681,100.0,4.17,21.8,1012.4,"Rain, Partially cloudy"
2019-02-07,194.83333333333331,102.4433,512.635,18.2,13.3,16.4,18.2,13.3,16.4,93.7,7.033,100.0,8.33,33.2,1010.3,"Rain, Partially cloudy"
2019-02-08,59.333333333333336,160.86072,361.33478,20.1,8.0,13.9,20.1,8.0,13.9,78.6,0.0,0.0,0.0,17.7,1016.4,Clear
2019-02-09,96.73684210526316,177.58769,300.40094,20.0,8.0,13.6,20.0,6.0,13.1,76.4,0.0,0.0,0.0,18.0,1018.9,Clear
2019-02-10,158.36363636363637,139.94193,202.37521,20.6,7.0,13.7,20.6,7.0,13.7,76.9,0.0,0.0,0.0,22.4,1020.2,Partially cloudy
2019-02-11,146.13478260869564,151.33113,182.43773,21.8,9.2,15.2,21.8,8.5,15.2,73.9,0.0,0.0,0.0,11.2,1020.5,Partially cloudy
2019-02-12,149.91376811594202,160.99583,166.22658,22.9,11.3,16.7,22.9,11.3,16.7,78.7,0.0,0.0,0.0,7.6,1020.5,Partially cloudy
2019-02-13,138.36060606060605,156.8768,171.43518,25.0,12.4,18.3,25.0,12.4,18.3,73.6,0.0,0.0,0.0,11.6,1019.6,Partially cloudy
2019-02-14,110.69434380032207,65.91645,417.1501,21.0,15.1,17.4,21.0,15.1,17.4,86.2,9.806,100.0,12.5,18.4,1015.2,"Rain, Partially cloudy"
2019-02-15,108.42240338164252,98.528595,328.25653,21.5,13.8,16.7,21.5,13.8,16.7,85.8,0.1,100.0,4.17,15.6,1015.5,"Rain, Partially cloudy"
2019-02-16,144.29384057971015,146.92938,341.64697,19.2,13.0,15.3,19.2,13.0,15.3,91.4,0.0,0.0,0.0,16.6,1017.3,Partially cloudy
2019-02-17,127.08188405797102,180.62735,379.96744,21.0,11.0,15.5,21.0,11.0,15.5,83.5,0.0,0.0,0.0,20.3,1014.2,Partially cloudy
2019-02-18,112.9336956521739,128.22913,232.11089,24.8,12.3,18.1,24.8,12.3,18.1,73.0,0.63,100.0,4.17,21.3,1009.4,"Rain, Partially cloudy"
2019-02-19,110.41123188405795,173.66763,190.61646,23.9,13.2,18.4,23.9,13.2,18.4,79.7,0.0,0.0,0.0,12.0,1012.5,Partially cloudy
2019-02-20,93.28396739130436,71.446785,262.28745,20.8,15.0,18.1,20.8,15.0,18.1,87.5,2.171,100.0,12.5,11.4,1017.4,"Rain, Partially cloudy"
2019-02-21,73.35733695652173,168.90788,275.54108,27.8,15.0,21.0,28.3,15.0,21.1,71.6,0.0,0.0,0.0,15.4,1016.1,Partially cloudy
2019-02-22,74.31014492753623,178.17444,577.1588,23.0,15.0,18.7,23.0,15.0,18.7,78.5,0.0,0.0,0.0,24.5,1016.8,Partially cloudy
2019-02-23,81.20253623188405,188.61865,399.4523,22.0,9.0,16.4,22.0,7.2,16.3,66.5,0.0,0.0,0.0,29.4,1015.3,Partially cloudy
2019-02-24,93.28115942028984,188.85146,264.02353,23.6,13.0,17.1,23.6,13.0,17.1,65.4,0.0,0.0,0.0,16.6,1012.0,Partially cloudy
2019-02-25,114.26195652173912,151.01756,238.98254,25.0,11.0,17.2,25.0,11.0,17.2,65.0,1.851,100.0,4.17,22.3,1011.1,"Rain, Partially cloudy"
2019-02-26,98.23998682476945,167.6082,353.29453,21.0,11.7,15.7,21.0,11.7,15.7,67.7,0.17,100.0,4.17,24.1,1011.3,"Rain, Partially cloudy"
2019-02-27,64.1286231884058,163.66734,474.9404,19.0,11.3,15.0,19.0,11.3,15.0,71.7,0.0,0.0,0.0,14.8,1011.5,Partially cloudy
2019-02-28,58.05124223602485,202.29207,573.86255,21.3,9.0,15.0,21.3,9.0,15.0,69.4,0.0,0.0,0.0,23.5,1015.3,Partially cloudy
2019-03-01,67.32753623188407,203.5633,280.2817,23.3,8.7,16.3,23.3,8.7,16.2,62.9,0.0,0.0,0.0,16.6,1015.8,Clear
2019-03-02,68.46000000000001,77.763,280.22726,18.7,13.0,15.6,18.7,13.0,15.6,81.3,6.391,100.0,16.67,18.4,1015.9,"Rain, Partially cloudy"
2019-03-03,67.7314558629776,143.12262,386.09753,22.1,12.0,16.6,22.1,12.0,16.6,85.2,2.722,100.0,8.33,18.4,1012.6,"Rain, Partially cloudy"
2019-03-04,70.116930171278,170.37479,425.16406,23.7,12.3,18.2,23.7,12.3,18.2,80.9,0.0,0.0,0.0,15.4,1009.8,Partially cloudy
2019-03-05,58.70652173913044,202.27933,543.3197,23.0,12.0,17.7,23.0,12.0,17.7,72.4,0.0,0.0,0.0,18.0,1010.8,Partially cloudy
2019-03-06,61.45741106719368,211.85255,539.6169,24.1,11.0,17.7,24.1,11.0,17.7,65.8,0.0,0.0,0.0,16.2,1011.9,Clear
2019-03-07,73.4538208168643,212.67554,352.97745,26.0,10.4,18.7,26.0,10.4,18.7,62.1,0.0,0.0,0.0,15.9,1012.3,Clear
2019-03-08,80.90688405797101,199.1842,357.89,26.0,13.2,19.8,26.0,13.2,19.8,63.1,0.0,0.0,0.0,14.4,1013.8,Clear
2019-03-09,79.75072463768116,201.77391,512.6224,26.2,14.2,20.1,26.2,14.2,20.1,60.0,0.0,0.0,0.0,14.8,1013.9,Clear
2019-03-10,66.03659420289856,220.407,482.00894,26.8,11.5,19.6,26.4,11.5,19.6,56.4,0.0,0.0,0.0,16.6,1014.2,Clear
2019-03-11,92.92456140350876,164.27095,432.43643,27.8,14.5,21.4,27.7,14.5,21.4,59.5,0.555,100.0,4.17,23.8,1013.4,"Rain, Partially cloudy"
2019-03-12,74.04528985507247,190.94469,575.41815,27.0,15.2,21.1,26.8,15.2,21.1,61.3,0.0,0.0,0.0,14.8,1015.6,Partially cloudy
2019-03-13,74.50760869565218,130.79349,274.17355,24.8,16.0,20.1,24.8,16.0,20.1,61.8,0.0,0.0,0.0,11.2,1015.9,Partially cloudy
2019-03-14,81.66304347826087,161.73767,365.16998,24.0,13.4,18.0,24.0,13.4,18.0,73.2,0.77,100.0,4.17,18.4,1016.8,"Rain, Partially cloudy"
2019-03-15,66.23128019323671,224.27016,572.924,25.8,11.0,18.6,25.8,11.0,18.6,71.5,0.0,0.0,0.0,13.0,1018.2,Clear
2019-03-16,73.31280193236715,221.66597,427.39832,26.0,13.0,19.6,26.0,13.0,19.6,66.1,0.0,0.0,0.0,14.8,1016.6,Partially cloudy
2019-03-17,71.04428341384863,224.60963,521.54706,27.8,14.0,21.1,27.3,14.0,21.1,60.0,0.0,0.0,0.0,14.8,1014.6,Partially cloudy
2019-03-18,45.0,214.30682,446.62756,28.1,13.8,21.1,27.7,13.8,21.1,61.9,0.0,0.0,0.0,16.6,1014.1,Clear
2019-03-19,90.5,222.43875,431.99643,30.9,14.7,22.7,30.4,14.7,22.6,59.6,0.0,0.0,0.0,11.2,1010.5,Clear
2019-03-20,71.42083333333333,200.57503,379.77927,34.0,17.4,25.7,34.3,17.4,25.6,51.7,0.0,0.0,0.0,16.1,1008.7,Partially cloudy
