valid_time,solar_radiation,boundary_layer_height
2019-01-01,135.33174,143.09856
2019-01-02,133.70912,136.26231
2019-01-03,135.9514,240.07968
2019-01-04,128.81148,152.73969
2019-01-05,134.66133,257.30548
2019-01-06,117.33368,200.55927
2019-01-07,137.8448,212.90425
2019-01-08,132.27681,258.1032
2019-01-09,141.93831,258.84375
2019-01-10,144.12672,161.89012
2019-01-11,138.77318,191.50221
2019-01-12,116.138145,204.26584
2019-01-13,137.56902,299.05063
2019-01-14,151.61247,410.19183
2019-01-15,146.09048,232.09325
2019-01-16,131.0009,134.78363
2019-01-17,149.14944,172.93613
2019-01-18,150.65395,140.56073
2019-01-19,148.71095,124.580284
2019-01-20,137.62033,104.26253
2019-01-21,113.27343,395.00775
2019-01-22,90.00342,269.95462
2019-01-23,103.50895,180.62723
2019-01-24,138.97269,298.94348
2019-01-25,133.15187,237.25148
2019-01-26,158.83891,316.5835
2019-01-27,154.20601,347.64563
2019-01-28,164.43182,386.98627
2019-01-29,165.22858,211.95535
2019-01-30,148.03561,153.81296
2019-01-31,148.30115,317.6629
2019-02-01,136.47527,235.02844
2019-02-02,163.43642,244.80998
2019-02-03,166.3895,203.78188
2019-02-04,167.53607,143.34236
2019-02-05,134.02025,166.94836
2019-02-06,132.46526,356.3277
2019-02-07,102.4433,512.635
2019-02-08,160.86072,361.33478
2019-02-09,177.58769,300.40094
2019-02-10,139.94193,202.37521
2019-02-11,151.33113,182.43773
2019-02-12,160.99583,166.22658
2019-02-13,156.8768,171.43518
2019-02-14,65.91645,417.1501
2019-02-15,98.528595,328.25653
2019-02-16,146.92938,341.64697
2019-02-17,180.62735,379.96744
2019-02-18,128.22913,232.11089
2019-02-19,173.66763,190.61646
2019-02-20,71.446785,262.28745
2019-02-21,168.90788,275.54108
2019-02-22,178.17444,577.1588
2019-02-23,188.61865,399.4523
2019-02-24,188.85146,264.02353
2019-02-25,151.01756,238.98254
2019-02-26,167.6082,353.29453
2019-02-27,163.66734,474.9404
2019-02-28,202.29207,573.86255
2019-03-01,203.5633,280.2817
2019-03-02,77.763,280.22726
2019-03-03,143.12262,386.09753
2019-03-04,170.37479,425.16406
2019-03-05,202.27933,543.3197
2019-03-06,211.85255,539.6169
2019-03-07,212.67554,352.97745
2019-03-08,199.1842,357.89
2019-03-09,201.77391,512.6224
2019-03-10,220.407,482.00894
2019-03-11,164.27095,432.43643
2019-03-12,190.94469,575.41815
2019-03-13,130.79349,274.17355
2019-03-14,161.73767,365.16998
2019-03-15,224.27016,572.924
2019-03-16,221.66597,427.39832
2019-03-17,224.60963,521.54706
2019-03-18,214.30682,446.62756
2019-03-19,222.43875,431.99643
2019-03-20,200.57503,379.77927
2019-03-21,213.8627,412.8996
2019-03-22,233.51996,813.42737
2019-03-23,233.43909,649.1565
2019-03-24,212.4682,552.96436
2019-03-25,157.79024,437.78348
2019-03-26,233.84511,778.59644
2019-03-27,221.0026,629.7297
2019-03-28,227.54855,432.39526
2019-03-29,215.92879,354.41467
2019-03-30,218.0568,340.06528
2019-03-31,239.6975,692.6385
2019-04-01,245.2167,638.4239
2019-04-02,244.20346,512.90515
2019-04-03,240.30919,502.449
2019-04-04,238.63545,412.09946
2019-04-05,213.58087,327.83063
2019-04-06,208.97528,317.29306
2019-04-07,206.94125,476.4411
2019-04-08,231.79736,448.9206
2019-04-09,236.98766,531.189
2019-04-10,206.56123,326.62518
2019-04-11,225.1315,368.83215
2019-04-12,228.03613,485.85583
2019-04-13,224.73549,654.4614
2019-04-14,231.24898,700.5317
2019-04-15,223.58028,698.68066
2019-04-16,169.87546,638.89026
2019-04-17,127.322685,606.1427
2019-04-18,216.92268,658.2726
2019-04-19,222.16599,934.0111
2019-04-20,239.21362,1045.899
2019-04-21,241.27504,956.95074
2019-04-22,242.16449,1119.0404
2019-04-23,244.82793,565.58606
2019-04-24,233.53467,485.23273
2019-04-25,232.72447,728.2171
2019-04-26,230.88383,1344.8077
2019-04-27,257.6996,1307.7451
2019-04-28,260.64786,1402.3807
2019-04-29,252.04938,1026.5276
2019-04-30,251.9774,975.5677
2019-05-01,255.2952,977.5281
2019-05-02,204.83182,641.7497
2019-05-03,225.67543,920.6123
2019-05-04,260.4348,1591.672
2019-05-05,263.19574,1667.0593
2019-05-06,262.8,1569.6835
2019-05-07,259.76724,1047.8057
2019-05-08,260.4967,1111.5552
2019-05-09,260.27426,1402.5819
2019-05-10,254.8466,1050.9297
2019-05-11,225.55498,1061.3939
2019-05-12,245.9047,1174.0251
2019-05-13,233.59247,904.5001
2019-05-14,224.80927,979.5072
2019-05-15,247.70334,568.0215
2019-05-16,242.68803,1028.8151
2019-05-17,179.16226,757.44824
2019-05-18,228.27396,938.4295
