datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,humidity,precip,precipprob,precipcover,windspeed,pressure,conditions
2019-01-01,22.3,5.8,13.2,22.3,4.7,13.0,70.1,0.0,0.0,0.0,9.4,1020.0,Clear
2019-01-02,22.7,7.9,14.9,22.7,7.9,14.9,70.6,0.0,0.0,0.0,11.2,1020.0,Clear
2019-01-03,19.9,7.0,12.6,19.9,6.2,12.4,83.1,0.0,0.0,0.0,21.1,1021.4,Clear
2019-01-04,17.7,8.0,11.9,17.7,4.9,11.3,87.3,0.0,0.0,0.0,21.5,1020.3,Partially cloudy
2019-01-05,20.9,7.6,13.3,20.9,7.0,12.8,78.8,0.0,0.0,0.0,21.6,1018.6,Clear
2019-01-06,19.2,10.5,14.2,19.2,10.5,14.2,81.6,5.552,100.0,12.5,22.3,1017.9,"Rain, Partially cloudy"
2019-01-07,19.5,8.0,12.9,19.5,8.0,12.8,86.7,0.0,0.0,0.0,11.2,1019.7,Partially cloudy
2019-01-08,19.6,8.0,12.8,19.6,7.4,12.7,84.5,0.0,0.0,0.0,15.0,1018.1,Partially cloudy
2019-01-09,20.3,7.0,13.3,20.3,4.8,12.9,74.2,0.0,0.0,0.0,24.3,1017.3,Clear
2019-01-10,20.5,7.5,13.1,20.5,6.8,12.9,72.0,0.0,0.0,0.0,11.2,1016.9,Clear
2019-01-11,21.5,6.7,14.0,21.5,6.7,14.0,71.9,0.0,0.0,0.0,9.4,1018.3,Clear
2019-01-12,22.0,8.8,14.8,22.0,8.8,14.8,72.2,0.0,0.0,0.0,11.2,1017.4,Partially cloudy
2019-01-13,22.4,9.6,15.8,22.4,9.6,15.8,74.2,0.0,0.0,0.0,14.8,1019.3,Partially cloudy
2019-01-14,19.0,9.0,13.3,19.0,7.6,13.0,64.5,0.0,0.0,0.0,24.6,1019.4,Clear
2019-01-15,18.7,6.0,11.2,18.7,4.0,10.4,71.1,0.0,0.0,0.0,18.4,1018.4,Partially cloudy
2019-01-16,20.0,6.2,12.6,20.0,6.2,12.6,73.3,0.0,0.0,0.0,9.4,1018.2,Partially cloudy
2019-01-17,21.7,6.3,13.4,21.7,6.3,13.4,74.6,0.0,0.0,0.0,14.8,1017.0,Clear
2019-01-18,20.8,6.0,12.6,20.8,4.4,12.3,78.4,0.0,0.0,0.0,22.8,1017.2,Clear
2019-01-19,25.1,7.7,15.1,25.1,7.7,15.1,71.6,0.0,0.0,0.0,9.4,1017.1,Clear
2019-01-20,28.0,9.5,18.3,27.8,9.5,18.1,63.9,0.0,0.0,0.0,9.4,1015.9,Partially cloudy
2019-01-21,23.0,13.0,16.8,23.0,13.0,16.8,79.2,10.507,100.0,8.33,26.5,1013.1,"Rain, Partially cloudy"
2019-01-22,18.0,13.0,15.2,18.0,13.0,15.2,95.0,29.553,100.0,12.5,22.3,1013.8,"Rain, Partially cloudy"
2019-01-23,18.4,9.8,13.0,18.4,8.7,12.9,93.4,0.0,0.0,0.0,11.2,1017.5,Partially cloudy
2019-01-24,20.8,11.0,14.7,20.8,11.0,14.7,86.7,2.701,100.0,4.17,20.5,1019.6,"Rain, Partially cloudy"
2019-01-25,18.0,10.5,13.8,18.0,10.5,13.8,83.5,2.552,100.0,4.17,13.0,1019.7,"Rain, Partially cloudy"
2019-01-26,18.8,7.3,12.5,18.8,6.4,12.3,70.3,0.0,0.0,0.0,14.8,1022.2,Clear
2019-01-27,18.5,5.1,11.2,18.5,4.0,10.8,77.9,0.0,0.0,0.0,31.8,1022.6,Partially cloudy
2019-01-28,18.8,6.0,11.9,18.8,4.4,11.5,72.6,0.0,0.0,0.0,24.6,1022.1,Clear
2019-01-29,19.8,6.0,12.2,19.8,4.4,11.7,69.3,0.0,0.0,0.0,16.6,1020.5,Clear
2019-01-30,20.2,6.8,13.1,20.2,5.6,13.0,69.6,0.0,0.0,0.0,13.6,1019.1,Partially cloudy
